102313,Southern Arkansas University Tech
102331,Velvatex College of Beauty Culture
102340,University of Arkansas-Fort Smith
102359,Abram Friedman Occupational Center
102368,Academy of Art University
102386,Academy of Chinese Culture and Health Sciences
102401,Academy of Radio and Television Broadcasting
102410,Academy Pacific Travel College
102429,Avalon School of Cosmetology - Alameda
102438,College of Alameda
102447,Allan Hancock College
102465,American Baptist Seminary of the West
102474,American Film Institute
102483,American Beauty College
102508,American Career College - Los Angeles
102517,American Conservatory Theater
102526,American Graduate University
102535,American River College
102544,Everest Institute - Hayward
102553,Antelope Valley College
102562,Art Center College of Design
102571,Associated Technical College
102580,Associated Technical College
102599,Associated Technical College
102605,Azusa Pacific University
102614,Bakersfield College
102623,Barstow Community College
102632,Bellus Academy - National City
102641,Bethany University
102650,Bethesda University
102669,Biola University
102678,Brooks College
102696,Brownson Technical School
102702,Bryan University
102711,Butte College
102720,Phillips Graduate Institute
102739,California Institute of Integral Studies
102757,Cabrillo College
102766,California Baptist University
102775,California College of the Arts
102784,University of California Hastings College of Law
102793,California Institute of Technology
102809,California Lutheran University
102818,California Polytechnic State University-San Luis Obispo
102854,Alliant International University
102872,California State University - Bakersfield
102881,California State University - Stanislaus
102906,California State University - San Bernardino
102915,California State Polytechnic University - Pomona
102924,California State University - Chico
102933,California State University - Dominguez Hills
102942,California State University - Fresno
102951,California State University - Fullerton
102960,California State University - East Bay
102979,California State University - Long Beach
102988,California State University - Los Angeles
102997,California State University - Northridge
103006,California State University - Sacramento
103015,University of California - Berkeley
103024,University of California - Davis
103033,University of California - Irvine
103042,University of California - Los Angeles
103051,University of California - Riverside
103060,University of California - San Diego
103079,University of California - San Francisco
103088,University of California - Santa Barbara
103097,University of California - Santa Cruz
103103,Institute of Transpersonal Psychology
103112,Mountain Oaks Adult Education Center
103121,California Beauty College
103130,California Christian College
103149,California Coast University
103158,California College-San Diego
103176,California Hair Design Academy
103185,California Institute of the Arts
103194,California Maritime Academy
103200,California Western School of Law
103219,Canada College
103228,College of the Canyons
103237,Career Academy of Beauty
103246,Casa Loma College - Van Nuys
103255,Center for Employment Training - San Diego
103264,Center for Employment Training - San Jose
103282,Center for Employment Training - Riverside
103334,Cerritos College
103343,Cerro Coso Community College
103352,Chabot College
103361,Chaffey College
103370,Chapman University
103389,Charles R Drew University of Medicine and Science
103398,Concordia University
103404,San Diego Christian College
103422,Church Divinity School of the Pacific
103431,Citrus College
103440,City College of San Francisco
103468,Claremont Graduate University
103477,Claremont McKenna College
103486,Milan Institute - Visalia
103501,Clovis Adult Education
103529,Coastline Community College
103538,Cogswell Polytechnical College
103547,Coleman University
103556,COBA Academy
103565,National Polytechnic College of Science
103574,Western University of Health Sciences
103583,Columbia College
103592,Columbia College Hollywood
103608,Morgan Hill Community Adult School
103617,Compton Community College
103626,Western Beauty Institute
103644,Contra Costa College
103653,Cosumnes River College
103662,Crafton Hills College
103671,Crenshaw-Washington Community Adult School
103680,Cuesta College
103699,Cuyamaca College
103714,Cypress College
103732,De Anza College
103741,Marinello School of Beauty - Hemet
103750,Deep Springs College
103769,Dell'Arte International School of Physical Theatre
103778,College of the Desert
103787,Design Institute of San Diego
103796,Kasson Adult School - Deuel Vocational Institution
103811,Diablo Valley College
103820,Dominican University of California
103839,Dominican School of Philosophy and Theology
103848,Don Bosco Technical Institute
103857,East Los Angeles College
103866,East Los Angeles Occupational Center
103875,Marinello School of Beauty - Santa Clara
103884,SDCCD Continuing Education
103893,El Camino College
103909,Elegance International
103927,Marinello School of Beauty - Burbank
103936,Marinello School of Beauty - Moreno Valley
103945,Emperor's College of Traditional Oriental Medicine
103954,Empire College
103963,Evergreen Valley College
103981,Fashion Institute of Design and Merchandising
103990,Fashion Careers College
104027,Feather River College
104036,Federico Beauty Institute
104045,Fielding Graduate University
104054,Five Branches University:  Graduate School of Traditional Chinese Medicine - Santa Cruz, CA
104063,Hair California Beauty Academy
104072,Foothill College
104081,Franciscan School of Theology
104090,Fredrick and Charles Beauty College
104106,Fresno City College
104115,Fresno Pacific University
104133,Fuller Theological Seminary
104142,Fullerton College
104151,Galen College of Medical and Dental Assistants
104160,Galen College of Medical and Dental Assistants
104179,Galen College of Medical and Dental Assistants
104188,Gavilan College
104197,Gemological Institute of America
104203,Glendale Community College
104221,Golden Gate Baptist Theological Seminary
104230,Golden Gate University-San Francisco
104249,Golden West College
104258,Graduate Theological Union
104267,Grossmont Adult School
104285,Grossmont College
104294,Salon Success Academy - San Bernardino
104300,Harbor Occupational Center
104319,Hartnell College
104328,Harvey Mudd College
104407,Hilltop Beauty School
104416,Holy Names University
104425,Pacifica Graduate Institute
104434,Humboldt State University
104443,Humphreys College - Stockton
104452,Imperial Valley College
104461,Institute for Business and Technology
104470,ICR Graduate School
104489,LA College International
104498,Interior Designers Institute
104513,TONI & GUY Hairdressing Academy - Santa Monica
104522,Irvine Valley College
104568,Bellus Academy - El Cajon
104586,John F Kennedy University
104595,American Jewish University
104601,Reedley College
104610,Life Pacific College
104629,The Art Institute of California - San Diego
104638,University of La Verne
104647,Laguna College of Art and Design
104665,Lake Tahoe Community College
104674,Lancaster Beauty School
104683,Laney College
104692,Lassen Community College
104708,Life Chiropractic College-West
104717,Lincoln University
104726,Southern California Seminary
104735,La Sierra University
104744,Loma Linda University
104753,Long Beach City College
104762,Southern California University of Health Sciences
104780,Los Angeles Harbor College
104799,Los Angeles Pierce College
104805,Los Angeles Southwest College
104814,Los Angeles Trade Technical College
104823,Los Angeles Valley College
104832,The Master's College and Seminary
104841,Los Angeles City College
104850,Harbor - UCLA Medical Center
104869,Los Angeles County College of Nursing and Allied Health
104878,Los Angeles Mission College
104887,Los Medanos College
104911,Loyola Marymount University
104920,Manchester Beauty College
104939,Tulare Beauty College
104966,Lytle's Redwood Empire Beauty College Inc
104975,MTI Business College Inc
104984,MTI College
104993,Kaplan College - Sacramento
105002,Kaplan College - San Diego
105011,Kaplan College - Vista
105039,College of Marin
105048,Marinello School of Beauty - Los Angeles
105057,Marinello School of Beauty - Inglewood
105066,Marinello School of Beauty - Whittier
105075,Marinello School of Beauty - Los Angeles
105084,Marinello School of Beauty - Reseda
105093,Marinello School of Beauty - North Hollywood
105109,Marinello School of Beauty - Ontario
105118,Marinello School of Beauty - San Diego
105127,Marinello School of Beauty - San Bernardino
105136,Marinello School of Beauty - West Covina
105145,Marymount College University
105163,Mendocino College
105172,Menlo College
105181,Mennonite Brethren Biblical Seminary
105190,Merced College
105206,Merritt College
105215,Mills College
105224,Miracosta College
105233,Marinello School of Beauty - San Francisco
105242,Mission College
105251,Modern Beauty Academy
105260,Kaplan College - North Hollywood
105279,Modesto Junior College
105288,Moler Barber College
105303,Monterey Peninsula College
105312,Montessori Teacher Education Center - San Francisco Bay Area
105321,Montessori Center for Teacher Education
105330,Montessori Western Teacher Training Program
105349,Moorpark College
105358,Moro Beauty College
105367,Mt San Antonio College
105376,Mount St. Mary's College
105385,Mt San Jacinto College
105394,Mueller College
105400,Musicians Institute
105419,Napa Valley College
105428,Everest Institute - San Francisco
105437,Everest College - Reseda
105446,Everest College - Los Angeles
105455,Everest Institute - San Jose
105464,Everest College - Gardena
105473,Everest College - Alhambra
105482,Everest College - San Bernardino
105491,The National Hispanic University
105507,National Holistic Institute
105516,National University
105525,Naval Postgraduate School
105534,New College of California
105543,NewSchool of Architecture and Design
105561,Newberry School of Beauty
105570,North Adrian's Beauty College
105598,North Valley Occupational Center - Aviation Center
105604,North-West College - Pomona
105613,North-West College-West Covina
105622,North-West College - Pasadena
105631,Northwestern Polytechnic University
105640,Notre Dame de Namur University
105659,Occidental College
105668,Oceanside College of Beauty
105677,Ohlone College
105686,Opportunities Industrialization Center - West
105695,Orange Coast College
105701,Otis College of Art and Design
105710,Oxnard College
105729,Hope International University
105738,Concorde Career College
105747,Palo Alto University
105765,Pacific Oaks College
105774,Pacific School of Religion
105783,Pacific States University
105792,Pacific Union College
105808,University of the Pacific
105817,Pacoima Skills Center
105826,Palmer College of Chiropractic-West
105835,Palo Verde College
105844,Palomar College
105862,Paris Beauty College
105871,Pasadena City College
105880,Patten University
105899,Peninsula Medical Center/Mills-Peninsula Health Services
105905,Pepperdine University
105923,Pitzer College
105932,Platt College-San Diego
105941,Point Loma Nazarene University
105950,Pomona College
105969,Porterville College
105978,Westwood College - Long Beach
105987,Professional Institute of Beauty
105996,Queen of the Holy Rosary College
106014,Santa Ana College
106023,Pardee Rand Graduate School of Policy Studies
106032,University of Redlands
106041,College of the Redwoods
106050,Salon Success Academy - Upland
106069,Salon Success Academy
106078,Rio Hondo College
106087,Riverside City College
106102,Rosemead Beauty School
106111,Dongguk University - Los Angeles
106120,Sacramento City College
106139,Saddleback College
106157,Saint Patrick's Seminary and University
106166,Salvation Army College for Officer Training at Crestmont
106175,Samra University of Oriental Medicine
106184,Samuel Merritt University
106209,San Diego City College
106227,San Diego Mesa College
106236,San Diego Miramar College
106245,San Diego State University
106254,University of San Diego
106263,San Francisco Art Institute
106272,San Francisco Conservatory of Music
106281,San Francisco State University
106290,San Francisco Theological Seminary
106306,University of San Francisco
106315,San Joaquin College of Law
106324,San Joaquin Delta College
106333,San Joaquin General Hospital
106342,San Joaquin Valley College
106360,William Jessup University
106388,San Jose City College
106397,San Jose State University
106412,College of San Mateo
106421,Santa Barbara Business College - Bakersfield
106449,Santa Barbara Business College - Santa Maria
106458,Santa Barbara City College
106467,Santa Clara University
106476,Santa Monica College
106485,Santa Rosa Junior College
106494,Saybrook University
106500,Scripps College
106528,Wyo Tech
106537,College of the Sequoias
106546,Shasta Bible College & Graduate School
106555,Shasta College
106564,Sierra College
106573,Sierra College of Beauty
106582,Sierra Valley College of Court Reporting
106607,Simpson University
106616,College of the Siskiyous
106625,Charles A. Jones Skills and Business Education Center
106634,Skyline College
106643,San Bernardino Valley College
106652,Saint Mary's College of California
106661,Solano Community College
106670,Sonoma State University
106689,Pinnacle College
106698,South Baylo University
106704,South Coast College
106713,Vanguard University of Southern California
106722,Concorde Career College
106731,Southwestern College
106740,Saint Johns Seminary
106759,St. Giles College
106768,Starr King School for Ministry
106786,Southern California College of Optometry
106795,Southern California Institute of Architecture
106801,University of Southern California
106810,Southwestern Law School
106829,Taft College
106838,Cambridge Junior College - Yuba City
106847,Claremont School of Theology
106856,Thomas Aquinas College
106865,Marinello School of Beauty - Lake Forest
106874,Travel and Trade Career Institute
106883,Travel University International
106892,EPIC Bible College
106908,Truck Marketing Institute
106944,Concorde Career College
106953,Universal College of Beauty Inc
106962,Vallecitos CET Inc
106971,Concorde Career College
106999,Ventura College
107008,Bridges Beauty College
107017,Victor Valley College
107026,Berkeley City College
107044,Walden University
107053,Maxine Waters Employment Preparation Center
107062,West Hills College - Coalinga
107071,West Los Angeles College
107080,The University of West Los Angeles
107099,West Valley College
107105,West Valley Occupational Center
107114,Carrington College California - Sacramento
107123,Westminster Seminary California
107132,Westmont College
107141,Whittier College
107150,William Howard Taft University
107169,Woodbury University
107178,The Wright Institute
107187,Western State University - College of Law
107196,Thomas Jefferson School of Law
107202,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary
107220,Yuba College
107239,The Salon Professional Academy - Grand Junction
107248,Adams State University
107257,Aims Community College
107275,Arapahoe Community College
107284,Bel-Rea Institute of Animal Technology
107293,Everest College - Colorado Springs
107309,Boulder College of Massage Therapy
107318,Memorial Hospital
107327,University of Colorado Denver
107336,University of Colorado Denver School of Medicine Psychology Internship
107345,University of Colorado at Colorado Springs
107354,Redstone College
107363,University of Colorado at Boulder
107372,Colorado Christian University
107381,Colorado College
107390,Concorde Career College - Aurora
107406,The Art Institute of Colorado
107415,Colorado Mountain College
107424,Colorado Northwestern Community College
107433,Colorado School of Mines
107442,Colorado School of Trades
107451,Colorado State University
107460,Colorado Technical University
107488,Community College of Aurora
107497,CollegeAmerica - Denver
107503,Delta Montrose Technical College
107521,Community College of Denver
107530,Lincoln College of Technology - Denver
107549,Denver Seminary
107567,University of Denver
107576,Emily Griffith Technical College
107585,Fort Lewis College
107594,Front Range Community College
107600,Glenwood Beauty Academy
107619,Hair Dynamics Education Center
107628,Iliff School of Theology
